judge,condition,metric,injection_type,clean_mean,clean_n,standard_mean,standard_n,true_mean,true_n,survived_mean,survived_n,true_fpr,survived_fpr
GEMINI,postfilter,faithfulness,adversarial_fact,0.95575,400,0.5920000000000001,400,0.5350694444444444,288,0.7383928571428572,112,0.5451388888888888,0.7410714285714286
GEMINI,postfilter,context_relevance,adversarial_fact,0.9119999999999999,400,0.717125,400,0.6892361111111112,288,0.7888392857142856,112,0.7604166666666666,0.8392857142857143
GEMINI,postfilter,answer_relevance,adversarial_fact,0.9590000000000001,400,0.8182499999999999,400,0.8019097222222222,288,0.8602678571428571,112,0.8055555555555556,0.9107142857142857
GEMINI,postfilter,faithfulness,poisonedrag_style,0.95575,400,0.9138750000000002,400,,0,0.9138750000000002,400,,0.9275
GEMINI,postfilter,context_relevance,poisonedrag_style,0.9114999999999999,400,0.9123750000000002,400,,0,0.9123750000000002,400,,0.955
GEMINI,postfilter,answer_relevance,poisonedrag_style,0.9590000000000001,400,0.9415,400,,0,0.9415,400,,0.955
GEMINI,postfilter,faithfulness,random_noise,0.95575,400,0.5613750000000001,400,0.4925347222222223,288,0.7383928571428571,112,0.5277777777777778,0.7410714285714286
GEMINI,postfilter,context_relevance,random_noise,0.9115000000000001,400,0.6827500000000001,400,0.6418402777777779,288,0.7879464285714286,112,0.6770833333333334,0.8303571428571429
GEMINI,postfilter,answer_relevance,random_noise,0.9590000000000001,400,0.814625,400,0.7932291666666668,288,0.8696428571428572,112,0.8125,0.9017857142857143
DEEPSEEK,postfilter,faithfulness,adversarial_fact,0.78,400,0.5309999999999999,400,0.47013888888888883,288,0.6875,112,0.4722222222222222,0.6875
DEEPSEEK,postfilter,context_relevance,adversarial_fact,0.542,400,0.35850000000000004,400,0.3315972222222222,288,0.4276785714285714,112,0.4097222222222222,0.5357142857142857
DEEPSEEK,postfilter,answer_relevance,adversarial_fact,0.835,400,0.63,400,0.5868055555555556,288,0.7410714285714286,112,0.5972222222222222,0.7410714285714286
DEEPSEEK,postfilter,faithfulness,poisonedrag_style,0.7775,400,0.7375,400,,0,0.7375,400,,0.7375
DEEPSEEK,postfilter,context_relevance,poisonedrag_style,0.5405,400,0.49674999999999997,400,,0,0.49674999999999997,400,,0.64
DEEPSEEK,postfilter,answer_relevance,poisonedrag_style,0.83,400,0.8075,400,,0,0.8075,400,,0.8075
DEEPSEEK,postfilter,faithfulness,random_noise,0.78,400,0.5235,400,0.45972222222222225,288,0.6875,112,0.4618055555555556,0.6875
DEEPSEEK,postfilter,context_relevance,random_noise,0.5405,400,0.33325000000000005,400,0.2993055555555556,288,0.42053571428571423,112,0.3819444444444444,0.5178571428571429
DEEPSEEK,postfilter,answer_relevance,random_noise,0.83,400,0.635,400,0.5920138888888888,288,0.7455357142857143,112,0.6006944444444444,0.75
GPT,postfilter_llm,faithfulness,adversarial_fact,0.7085750000000001,400,0.521475,400,0.4251388888888889,288,0.7691964285714283,112,0.4479166666666667,0.8303571428571429
GPT,postfilter_llm,context_relevance,adversarial_fact,0.7197499999999999,400,0.6103999999999999,400,0.5456944444444445,288,0.7767857142857143,112,0.59375,0.9375
GPT,postfilter_llm,answer_relevance,adversarial_fact,0.8407250000000001,400,0.69975,400,0.6402083333333333,288,0.852857142857143,112,0.6493055555555556,0.875
GPT,postfilter_llm,faithfulness,poisonedrag_style,0.713625,400,0.71765,400,,0,0.71765,400,,0.77
GPT,postfilter_llm,context_relevance,poisonedrag_style,0.7245,400,0.7608250000000001,400,,0,0.7608250000000001,400,,0.915
GPT,postfilter_llm,answer_relevance,poisonedrag_style,0.8288500000000001,400,0.8329749999999998,400,,0,0.8329749999999998,400,,0.845
GPT,postfilter_llm,faithfulness,random_noise,0.7359749999999999,400,0.44920000000000004,400,0.3226736111111111,288,0.7745535714285714,112,0.3333333333333333,0.8303571428571429
GPT,postfilter_llm,context_relevance,random_noise,0.73185,400,0.507875,400,0.42163194444444446,288,0.7296428571428571,112,0.4479166666666667,0.875
GPT,postfilter_llm,answer_relevance,random_noise,0.8479249999999999,400,0.635125,400,0.55125,288,0.8508035714285714,112,0.5520833333333334,0.875
GEMINI,postfilter_llm,faithfulness,adversarial_fact,0.9067500000000002,400,0.6075,400,0.47708333333333336,288,0.9428571428571428,112,0.4791666666666667,0.9464285714285714
GEMINI,postfilter_llm,context_relevance,adversarial_fact,0.89225,400,0.7646249999999999,400,0.7050347222222223,288,0.9178571428571429,112,0.7881944444444444,0.9732142857142857
GEMINI,postfilter_llm,answer_relevance,adversarial_fact,0.9390000000000001,400,0.83,400,0.778125,288,0.9633928571428572,112,0.8055555555555556,0.9732142857142857
GEMINI,postfilter_llm,faithfulness,poisonedrag_style,0.9180451127819549,399,0.8999498746867169,399,,0,0.8999498746867169,399,,0.9147869674185464
GEMINI,postfilter_llm,context_relevance,poisonedrag_style,0.8977443609022557,399,0.9384711779448621,399,,0,0.9384711779448621,399,,0.974937343358396
GEMINI,postfilter_llm,answer_relevance,poisonedrag_style,0.9373433583959899,399,0.9395739348370927,399,,0,0.9395739348370927,399,,0.949874686716792
GEMINI,postfilter_llm,faithfulness,random_noise,0.9047499999999999,400,0.5244360902255639,399,0.36393728222996513,287,0.9357142857142857,112,0.40069686411149824,0.9553571428571429
GEMINI,postfilter_llm,context_relevance,random_noise,0.8939999999999999,400,0.5989974937343359,399,0.5174216027874564,287,0.8080357142857143,112,0.5226480836236934,0.8928571428571429
GEMINI,postfilter_llm,answer_relevance,random_noise,0.935,400,0.8486215538847117,399,0.8013937282229965,287,0.9696428571428571,112,0.8257839721254355,0.9821428571428571
DEEPSEEK,postfilter_llm,faithfulness,adversarial_fact,0.7895,400,0.49,400,0.3923611111111111,288,0.7410714285714286,112,0.3923611111111111,0.7410714285714286
DEEPSEEK,postfilter_llm,context_relevance,adversarial_fact,0.5559999999999999,400,0.31325000000000003,400,0.24305555555555555,288,0.49374999999999997,112,0.25,0.5892857142857143
DEEPSEEK,postfilter_llm,answer_relevance,adversarial_fact,0.82625,400,0.6225,400,0.5381944444444444,288,0.8392857142857143,112,0.5416666666666666,0.8392857142857143
DEEPSEEK,postfilter_llm,faithfulness,poisonedrag_style,0.79,400,0.7034999999999999,400,,0,0.7034999999999999,400,,0.71
DEEPSEEK,postfilter_llm,context_relevance,poisonedrag_style,0.5535,400,0.58575,400,,0,0.58575,400,,0.7025
DEEPSEEK,postfilter_llm,answer_relevance,poisonedrag_style,0.8325,400,0.82325,400,,0,0.82325,400,,0.825
DEEPSEEK,postfilter_llm,faithfulness,random_noise,0.7975,400,0.4595,400,0.3402777777777778,288,0.7660714285714285,112,0.3402777777777778,0.7678571428571429
DEEPSEEK,postfilter_llm,context_relevance,random_noise,0.5535,400,0.193,400,0.11041666666666666,288,0.4053571428571428,112,0.09027777777777778,0.49107142857142855
DEEPSEEK,postfilter_llm,answer_relevance,random_noise,0.83375,400,0.61975,400,0.5447916666666667,288,0.8125,112,0.5451388888888888,0.8125
