triplet_id,condition,judge,injection_type,noise_level,is_poisoned,support_killed,category,faithfulness,context_relevance,answer_relevance
5adcdea85542992c1e3a2441_af_0.2,baseline,GPT,adversarial_fact,0.2,True,True,True,1.0,0.9,1.0
5ac4c16b5542997ea680cab4_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.8,0.95,1.0
5add2b435542990d50227e11_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.95,0.6,0.95
5a821c95554299676cceb219_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.95,0.85,1.0
5a8318955542990548d0b177_af_0.4,baseline,GPT,adversarial_fact,0.4,True,False,Survived,0.7,0.9,0.95
5a8778d25542994846c1cd89_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.2,0.3,0.8
5a7f275d55429934daa2fd01_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,1.0,1.0,1.0
5ae738f75542991bbc9761c4_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.0,0.4,0.0
5abb8ebe5542993f40c73b2d_af_0.4,baseline,GPT,adversarial_fact,0.4,True,True,True,0.75,0.65,1.0
5ac4c16b5542997ea680cab4_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,1.0,1.0,1.0
5ab8854555429934fafe6e0c_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.2,0.35,0.9
5a7f244255429934daa2fcec_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.8,1.0,1.0
5a80cf4c55429938b61421f6_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.2,0.5,0.7
5aba510f5542994dbf0198d6_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.9,0.8,0.9
5ae762835542997b22f6a711_pr_0.2,baseline,GPT,poisonedrag_style,0.2,True,False,Survived,0.2,0.5,0.6
5ae7b271554299540e5a564d_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,0.95,0.7,1.0
5ab41677554299753aec5a38_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.0,0.6,0.0
5ab6a3a3554299710c8d1f0d_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.0,1.0,1.0
5ab3bacc55429969a97a8197_rn_0.2,baseline,GPT,random_noise,0.2,True,False,Survived,1.0,0.8,1.0
5adfd56655429925eb1afaac_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.1,0.9,0.2
5a8aa5835542996c9b8d5f4e_pr_0.2,baseline,GPT,poisonedrag_style,0.2,True,False,Survived,0.95,0.9,1.0
5abe91895542993f32c2a168_af_0.2,baseline,GPT,adversarial_fact,0.2,True,False,Survived,0.55,0.6,0.3
5a770d785542993569682cad_rn_0.2,baseline,GPT,random_noise,0.2,True,False,Survived,0.7,0.6,1.0
5ae531ee5542990ba0bbb1ff_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.8,0.6,1.0
5a7a567255429941d65f25bd_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.7,0.6,0.9
5abb326055429966062416e7_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.2,0.3,1.0
5ab41677554299753aec5a38_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.0,0.1,0.1
5ae5ffbb5542996de7b71ad4_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.9,0.6,1.0
5a81018755429938b6142287_af_0.4,baseline,GPT,adversarial_fact,0.4,True,True,True,0.9,0.95,0.7
5a7d1765554299452d57bade_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.8,0.4,1.0
5a8aa5835542996c9b8d5f4e_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.95,0.95,1.0
5ab865ad5542992aa3b8c8dd_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.85,0.95,0.95
5adcceda5542990d50227d31_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.75,0.55,0.0
5ae0f5fc554299422ee9957c_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.05,0.1,0.0
5ae738f75542991bbc9761c4_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.0,0.2,0.0
5ab3ede755429976abd1bcf4_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.0,0.2,0.0
5a8778d25542994846c1cd89_rn_0.2,baseline,GPT,random_noise,0.2,True,True,True,0.2,0.3,0.8
5ab865ad5542992aa3b8c8dd_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,1.0,1.0,1.0
5abca1a55542993a06baf937_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,1.0,0.9,1.0
5a89a13c55429946c8d6e97a_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.95,0.8,0.9
5ae4c01e55429913cc2044f3_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.0,0.0,0.2
5ac4c16b5542997ea680cab4_af_0.4,baseline,GPT,adversarial_fact,0.4,True,False,Survived,0.9,0.95,1.0
5ae54b6355429908b63265cc_rn_0.6,baseline,GPT,random_noise,0.6,True,False,Survived,0.95,0.9,0.7
5ae5ffbb5542996de7b71ad4_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.0,1.0,1.0
5adf03b35542993a75d263d3_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.95,0.8,0.9
5a8ef1e35542995a26add57a_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,1.0,0.9,1.0
5a82360055429903bc27ba46_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,1.0,1.0,1.0
5ae738f75542991bbc9761c4_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,0.0,0.6,0.0
5ae762835542997b22f6a711_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.0,0.1,0.0
5a80cf4c55429938b61421f6_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.0,0.1,0.0
5abd516a5542992ac4f3825c_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.0,0.2,1.0
5a81cb2c5542990a1d231ec4_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.95,0.7,0.95
5a8051265542992bc0c4a6f8_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.95,0.9,1.0
5ab3c18b55429969a97a81b0_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,0.0,0.3,0.1
5ae5ffbb5542996de7b71ad4_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.0,0.5,0.0
5a89a74e554299669944a562_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.0,0.95,0.0
5ac39f7b554299218029dbe7_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.0,0.3,0.1
5ae4c01e55429913cc2044f3_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.95,1.0,1.0
5adf430e5542993a75d2645e_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,1.0,0.9,1.0
5a770d785542993569682cad_rn_0.4,baseline,GPT,random_noise,0.4,True,False,Survived,0.95,0.9,1.0
5a89a13c55429946c8d6e97a_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.9,1.0,1.0
5ab3ede755429976abd1bcf4_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.45,0.75,1.0
5a8ec7cc5542995a26add518_rn_0.6,baseline,GPT,random_noise,0.6,True,False,Survived,0.95,0.0,1.0
5adf1c3f5542993a75d263ec_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.0,0.05,0.95
5ae762835542997b22f6a711_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.0,0.0,0.0
5a89fea655429970aeb701eb_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.1,0.6,0.0
5ae5ffbb5542996de7b71ad4_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,1.0,1.0,1.0
5ae54b6355429908b63265cc_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.9,0.7,0.7
5adf24155542992d7e9f92af_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.45,0.85,0.2
5ab865ad5542992aa3b8c8dd_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.95,0.8,0.95
5ab865ad5542992aa3b8c8dd_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.95,0.85,1.0
5ac0714f554299294b218fe1_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.2,0.1,0.0
5a8aa5835542996c9b8d5f4e_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.95,0.85,1.0
5a81cb2c5542990a1d231ec4_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.95,0.9,0.95
5adf24155542992d7e9f92af_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.05,0.8,0.1
5a73977d554299623ed4ac08_clean_poisonedrag_style_0.6,baseline,GPT,poisonedrag_style,0.6,False,False,Clean,0.75,0.55,1.0
5abcf84d55429959677d6b86_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.2,0.4,0.0
5ae5d63b5542996de7b71a2d_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.95,0.9,1.0
5adfec5f55429942ec259b8d_pr_0.6,baseline,GPT,poisonedrag_style,0.6,True,False,Survived,0.95,0.75,1.0
5ae33fa95542990afbd1e0f2_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.95,0.85,0.98
5ae738f75542991bbc9761c4_pr_0.2,baseline,GPT,poisonedrag_style,0.2,True,False,Survived,0.95,0.8,1.0
5a89fea655429970aeb701eb_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.1,0.8,0.0
5a7c76275542990527d554b4_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.9,0.7,1.0
5a770d785542993569682cad_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.5,0.2,1.0
5abca1a55542993a06baf937_clean_adversarial_fact_0.6,baseline,GPT,adversarial_fact,0.6,False,False,Clean,1.0,0.9,1.0
5a80721b554299485f5985ef_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.4,0.7,1.0
5adeab4555429975fa854f5f_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,1.0,1.0,1.0
5ae151985542990adbacf74d_pr_0.2,baseline,GPT,poisonedrag_style,0.2,True,False,Survived,0.75,0.75,1.0
5ab3bacc55429969a97a8197_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.7,0.8,1.0
5a76394c5542994ccc918725_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.0,0.6,1.0
5ab514c05542991779162d72_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.7,0.2,1.0
5a8051265542992bc0c4a6f8_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,1.0,0.9,1.0
5ab8854555429934fafe6e0c_af_0.2,baseline,GPT,adversarial_fact,0.2,True,True,True,0.2,0.85,1.0
5ae33fa95542990afbd1e0f2_af_0.6,baseline,GPT,adversarial_fact,0.6,True,True,True,0.95,0.55,0.98
5abb8ebe5542993f40c73b2d_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.9,0.7,1.0
5adfec5f55429942ec259b8d_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.55,0.75,1.0
5a88d6df554299206df2b377_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.9,0.95,1.0
5ab3bacc55429969a97a8197_clean_adversarial_fact_0.2,baseline,GPT,adversarial_fact,0.2,False,False,Clean,1.0,1.0,0.9
5ab865ad5542992aa3b8c8dd_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.95,0.75,1.0
5ab8854555429934fafe6e0c_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.55,0.9,0.75
5aba510f5542994dbf0198d6_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.9,0.8,1.0
5a88d6df554299206df2b377_rn_0.4,baseline,GPT,random_noise,0.4,True,False,Survived,0.9,0.85,0.95
5ac2660d55429951e9e685a1_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.8,0.7,1.0
5aba510f5542994dbf0198d6_pr_0.2,baseline,GPT,poisonedrag_style,0.2,True,False,Survived,0.95,0.95,0.95
5ab3ede755429976abd1bcf4_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.0,0.2,0.0
5ae8242455429952e35eaa54_rn_0.4,baseline,GPT,random_noise,0.4,True,False,Survived,0.95,0.85,0.95
5a7518cb55429916b0164259_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,0.2,0.7,1.0
5adf24155542992d7e9f92af_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,0.0,0.2,0.0
5ab3c18b55429969a97a81b0_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,1.0,1.0,1.0
5ab514c05542991779162d72_af_0.4,baseline,GPT,adversarial_fact,0.4,True,True,True,0.95,0.75,0.9
5ab514c05542991779162d72_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.7,0.9,1.0
5a75eda35542994ccc918661_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.7,0.9,0.6
5a821c95554299676cceb219_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.95,0.85,1.0
5ae200655542994d89d5b2f4_clean_adversarial_fact_0.2,baseline,GPT,adversarial_fact,0.2,False,False,Clean,0.0,0.1,0.0
5a80721b554299485f5985ef_rn_0.2,baseline,GPT,random_noise,0.2,True,True,True,0.2,0.3,0.7
5a7c76275542990527d554b4_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,0.9,0.8,1.0
5a7a567255429941d65f25bd_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,0.5,0.8,1.0
5ab8854555429934fafe6e0c_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.65,1.0,1.0
5ae4c01e55429913cc2044f3_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.0,0.2,0.0
5adf24155542992d7e9f92af_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.2,0.7,0.3
5adc99cf554299438c868e0d_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,0.2,0.9,0.0
5a8051265542992bc0c4a6f8_af_0.2,baseline,GPT,adversarial_fact,0.2,True,False,Survived,0.55,0.75,1.0
5ab8854555429934fafe6e0c_rn_0.2,baseline,GPT,random_noise,0.2,True,True,True,0.7,1.0,1.0
5ae531ee5542990ba0bbb1ff_clean_poisonedrag_style_0.4,baseline,GPT,poisonedrag_style,0.4,False,False,Clean,0.95,0.55,0.9
5a82360055429903bc27ba46_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,1.0,0.95,1.0
5a7323ef5542994cef4bc477_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.95,0.9,0.95
5ab3ede755429976abd1bcf4_af_0.2,baseline,GPT,adversarial_fact,0.2,True,True,True,0.0,0.2,1.0
5adf1c3f5542993a75d263ec_clean_adversarial_fact_0.2,baseline,GPT,adversarial_fact,0.2,False,False,Clean,0.75,0.9,0.95
5a7a567255429941d65f25bd_af_0.8,baseline,GPT,adversarial_fact,0.8,True,True,True,0.7,0.3,1.0
5a8318955542990548d0b177_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.55,0.95,0.95
5abe8aad55429976d4830b60_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.95,0.25,0.95
5aba510f5542994dbf0198d6_rn_0.4,baseline,GPT,random_noise,0.4,True,False,Survived,0.9,0.25,0.7
5adfec5f55429942ec259b8d_clean_adversarial_fact_0.2,baseline,GPT,adversarial_fact,0.2,False,False,Clean,0.9,0.7,1.0
5ab9180b5542991b5579f0f3_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.9,0.7,1.0
5ab6a3a3554299710c8d1f0d_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.0,0.3,1.0
5a7d1765554299452d57bade_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,0.95,0.35,0.95
5ab514c05542991779162d72_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.95,0.9,1.0
5a81cb2c5542990a1d231ec4_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,1.0,0.9,1.0
5adf03b35542993a75d263d3_clean_adversarial_fact_0.6,baseline,GPT,adversarial_fact,0.6,False,False,Clean,0.9,0.8,1.0
5abb8ebe5542993f40c73b2d_clean_adversarial_fact_0.4,baseline,GPT,adversarial_fact,0.4,False,False,Clean,0.9,0.7,1.0
5a82360055429903bc27ba46_pr_0.6,baseline,GPT,poisonedrag_style,0.6,True,False,Survived,0.1,0.9,0.6
5ab41677554299753aec5a38_clean_random_noise_0.6,baseline,GPT,random_noise,0.6,False,False,Clean,0.0,0.1,0.0
5ab5c8c5554299637185c60d_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.9,1.0,1.0
5a8aa5835542996c9b8d5f4e_pr_0.4,baseline,GPT,poisonedrag_style,0.4,True,False,Survived,1.0,0.9,1.0
5ae33fa95542990afbd1e0f2_pr_0.2,baseline,GPT,poisonedrag_style,0.2,True,False,Survived,0.95,0.9,1.0
5a8318955542990548d0b177_pr_0.8,baseline,GPT,poisonedrag_style,0.8,True,False,Survived,1.0,0.9,1.0
5ae5d63b5542996de7b71a2d_rn_0.4,baseline,GPT,random_noise,0.4,True,True,True,0.9,0.6,1.0
5a770d785542993569682cad_clean_poisonedrag_style_0.8,baseline,GPT,poisonedrag_style,0.8,False,False,Clean,0.9,1.0,1.0
5ac0714f554299294b218fe1_rn_0.2,baseline,GPT,random_noise,0.2,True,True,True,0.85,0.05,0.0
5a738fe855429908901be2fb_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.6,0.8,1.0
5a8ef1e35542995a26add57a_pr_0.6,baseline,GPT,poisonedrag_style,0.6,True,False,Survived,0.0,0.6,0.0
5a7129685542994082a3e5fa_af_0.4,baseline,GPT,adversarial_fact,0.4,True,True,True,0.55,0.85,0.95
5adcceda5542990d50227d31_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.8,0.7,1.0
5ae151985542990adbacf74d_rn_0.6,baseline,GPT,random_noise,0.6,True,True,True,0.35,0.25,0.95
5abb326055429966062416e7_rn_0.2,baseline,GPT,random_noise,0.2,True,False,Survived,0.2,0.5,0.6
5ae54b6355429908b63265cc_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.0,0.9,0.2
5abe8aad55429976d4830b60_clean_random_noise_0.4,baseline,GPT,random_noise,0.4,False,False,Clean,0.8,0.7,0.9
5ae33fa95542990afbd1e0f2_clean_poisonedrag_style_0.2,baseline,GPT,poisonedrag_style,0.2,False,False,Clean,0.9,0.85,1.0
5ab41677554299753aec5a38_clean_random_noise_0.2,baseline,GPT,random_noise,0.2,False,False,Clean,0.0,0.2,0.0
5adcdea85542992c1e3a2441_pr_0.6,baseline,GPT,poisonedrag_style,0.6,True,False,Survived,0.35,0.75,0.9
5ab41677554299753aec5a38_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,0.0,0.35,0.0
5adcf37e5542994ed6169c37_af_0.2,baseline,GPT,adversarial_fact,0.2,True,True,True,0.0,0.3,0.0
5a73977d554299623ed4ac08_clean_random_noise_0.8,baseline,GPT,random_noise,0.8,False,False,Clean,0.9,0.8,1.0
5abe8aad55429976d4830b60_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.1,0.0,1.0
5ab3c18b55429969a97a81b0_clean_adversarial_fact_0.8,baseline,GPT,adversarial_fact,0.8,False,False,Clean,1.0,1.0,1.0
5a7129685542994082a3e5fa_rn_0.8,baseline,GPT,random_noise,0.8,True,True,True,0.55,0.75,0.95
